User_ID,Gender,age cat,Occupation,city,stay,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,purchase cat
1004048,1,4,1,1,1,0,13,14,16,0
1003391,0,2,4,0,0,0,13,14,16,0
1000889,0,4,20,0,1,0,13,14,16,0
1006025,1,3,1,1,1,0,13,14,16,0
1002660,0,5,17,2,0,0,13,14,16,0
1004977,0,3,4,1,2,0,13,15,16,0
1002967,0,3,0,0,1,0,13,14,16,0
1004028,0,3,4,0,2,0,13,14,16,0
1000563,0,3,4,0,3,0,13,15,16,0
1003603,1,4,7,1,0,1,13,15,16,0
1004085,1,3,6,0,1,0,13,14,16,0
1001421,1,0,10,0,1,0,13,15,16,0
1003683,0,3,2,1,3,1,13,14,16,0
1001502,0,2,4,2,3,0,13,15,16,0
1004083,0,5,14,0,0,0,13,14,16,0
1003908,0,3,0,1,2,0,13,14,16,0
1005187,0,2,16,2,1,0,13,15,16,0
1001266,0,3,4,1,0,1,13,14,16,0
1003554,0,3,15,2,1,1,13,14,16,0
1002700,0,3,7,2,2,1,13,14,16,0
1004411,0,2,4,0,3,0,13,14,16,0
1001383,1,3,7,0,1,0,13,14,16,0
1004271,0,4,7,1,2,0,13,15,16,0
1003320,0,3,1,1,1,1,13,14,16,0
1000594,1,5,13,1,3,0,13,14,16,0
1003336,0,4,17,1,2,1,13,14,16,0
1004834,1,4,9,2,1,1,13,14,16,0
1006001,1,3,7,0,0,1,13,14,16,0
1002581,0,3,11,0,1,0,13,14,16,0
1000391,0,4,11,2,2,1,13,14,16,0
1000284,0,3,12,1,3,1,13,15,16,0
1000531,1,2,14,1,0,0,13,14,16,0
1000602,1,5,6,2,2,0,13,15,16,0
1005675,0,4,14,0,2,0,13,14,16,0
1004617,1,3,6,2,0,0,13,14,16,0
1000319,1,5,6,1,3,1,13,14,16,0
1004083,0,5,14,0,0,0,13,15,16,0
1001053,0,4,0,2,2,1,13,14,16,0
1003610,0,2,6,1,4,0,13,14,16,0
1001794,0,3,11,1,1,0,13,14,16,0
1002453,0,3,7,1,0,0,13,14,16,0
1004834,1,4,9,2,1,1,13,15,16,0
1001136,1,4,7,2,3,0,13,15,16,0
